🕘️更新时间,#genre#
CCTV-7,http://live1.hrtn.net/live/cctv7hd_3000.m3u8?auth_key=1761355085-37a6d1afc3288387c85794fb4ecf8195-0-4a280d6829448794a9a15f120e1f8274$订阅源
CCTV-7,http://39.150.98.32:7799/tsfile/live/0007_1.m3u8$订阅源
CCTV-7,https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv7_1_td.m3u8$订阅源
CCTV-8,http://211.142.224.62:2023/paiptv/CCTV8.m3u8
CCTV-8,http://39.150.98.32:7799/tsfile/live/0008_1.m3u8$订阅源
CCTV-8,http://27.41.245.32:801/hls/8/index.m3u8$订阅源
CCTV-8,http://1.31.14.70:54321/hls/14/index.m3u8$订阅源
CCTV-8,http://222.85.50.23:6070/hls/8/index.m3u8$订阅源
CCTV-8,http://live1.hrtn.net/live/cctv8hd_3000.m3u8?auth_key=1761355085-d9ad9487b43290a88224ce4cb6ceb633-0-2f96c724afadbf228227946b506b4d1e$订阅源
CCTV-8,http://1.24.39.180:808/hls/8/index.m3u8$订阅源
CCTV-8,http://39.150.98.32:7799/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$河南酒店源
CCTV-9,http://39.150.98.32:7799/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-9,http://211.142.224.62:2023/paiptv/CCTV9.m3u8
CCTV-9,http://39.150.98.32:7799/tsfile/live/0009_1.m3u8$订阅源
CCTV-9,http://27.41.245.32:801/hls/9/index.m3u8$订阅源
CCTV-9,http://222.142.185.127:8888/hls/5/index.m3u8$订阅源
CCTV-9,http://1.31.14.70:54321/hls/10/index.m3u8$订阅源
CCTV-9,http://222.85.50.23:6070/hls/9/index.m3u8$订阅源
CCTV-9,http://1.24.39.180:808/hls/9/index.m3u8$订阅源
CCTV-9,http://live1.hrtn.net/live/cctv9hd_3000.m3u8?auth_key=1761355085-348da2ccb5e98029d2d0e1cccd776408-0-91b4ac83ec3ae7d904275c6c08c7201d$订阅源
CCTV-9,http://39.150.98.32:7799/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$河南酒店源
CCTV-10,http://39.150.98.32:7799/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-10,http://211.142.224.62:2023/paiptv/CCTV10.m3u8
CCTV-10,http://39.150.98.32:7799/tsfile/live/0010_1.m3u8$订阅源
CCTV-10,http://27.41.245.32:801/hls/10/index.m3u8$订阅源
CCTV-10,http://222.85.50.23:6070/hls/10/index.m3u8$订阅源
CCTV-10,http://1.24.39.180:808/hls/10/index.m3u8$订阅源
CCTV-10,http://live1.hrtn.net/live/cctv10hd_3000.m3u8?auth_key=1761355085-2c7d96923f6dd22651daf3b34629aa4d-0-a87d66ffcad2d832591e0b65290ac241$订阅源
CCTV-10,http://222.142.185.127:8888/hls/6/index.m3u8$订阅源
CCTV-10,http://171.217.136.165:10001/hls/10/index.m3u8$订阅源
CCTV-10,http://39.150.98.32:7799/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$河南酒店源
CCTV-11,http://211.142.224.62:2023/paiptv/CCTV11.m3u8
CCTV-11,http://39.150.98.32:7799/tsfile/live/0011_1.m3u8$订阅源
CCTV-11,http://222.85.50.23:6070/hls/11/index.m3u8$订阅源
CCTV-11,http://1.24.39.180:808/hls/11/index.m3u8$订阅源
CCTV-11,http://live1.hrtn.net/live/cctv11_1000.m3u8?auth_key=1761355085-436afb0bb5421e650b83da35b5c6fc50-0-be4130578ba1e63dff24948eeb5a5a20$订阅源
CCTV-11,http://171.217.136.165:10001/hls/11/index.m3u8$订阅源
CCTV-11,http://39.150.98.32:7799/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$河南酒店源
CCTV-12,http://39.150.98.32:7799/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-12,http://211.142.224.62:2023/paiptv/CCTV12.m3u8
CCTV-12,http://39.150.98.32:7799/tsfile/live/0012_1.m3u8$订阅源
CCTV-12,http://27.41.245.32:801/hls/12/index.m3u8$订阅源
CCTV-12,http://1.31.14.70:54321/hls/12/index.m3u8$订阅源
CCTV-12,http://222.85.50.23:6070/hls/12/index.m3u8$订阅源
CCTV-12,http://1.24.39.180:808/hls/12/index.m3u8$订阅源
CCTV-12,http://live1.hrtn.net/live/cctv12hd_3000.m3u8?auth_key=1761355085-6686e50bd4c091f83908a0e8535f960f-0-5d10bf4f73708411e36e29e0eb13933b$订阅源
CCTV-12,http://222.142.185.127:8888/hls/7/index.m3u8$订阅源
CCTV-12,http://171.217.136.165:10001/hls/12/index.m3u8$订阅源
CCTV-13,http://39.150.98.32:7799/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-13,http://211.142.224.62:2023/paiptv/CCTV13.m3u8
CCTV-13,http://1.24.39.180:808/hls/13/index.m3u8$订阅源
CCTV-13,http://1.31.14.70:54321/hls/19/index.m3u8$订阅源
CCTV-13,http://222.85.50.23:6070/hls/13/index.m3u8$订阅源
CCTV-13,http://live1.hrtn.net/live/cctv13_1000.m3u8?auth_key=1761355085-eb70c256c6a387db82ced27c98125639-0-57ca9f5d378b8fc78d049ff38868ccca$订阅源
CCTV-13,http://39.150.98.32:7799/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$河南酒店源
CCTV-14,http://211.142.224.62:2023/paiptv/CCTV14.m3u8
CCTV-14,http://39.150.98.32:7799/tsfile/live/0014_1.m3u8$订阅源
CCTV-14,http://222.142.185.127:8888/hls/8/index.m3u8$订阅源
CCTV-14,http://27.41.245.32:801/hls/14/index.m3u8$订阅源
CCTV-14,http://222.85.50.23:6070/hls/14/index.m3u8$订阅源
CCTV-14,http://1.24.39.180:808/hls/14/index.m3u8$订阅源
CCTV-14,http://171.217.136.165:10001/hls/14/index.m3u8$订阅源
CCTV-14,http://live1.hrtn.net/live/cctv17hd_3000.m3u8?auth_key=1761355085-06ce6640750e4158626b16f701991679-0-1d8b2ecdce46f05e5d0407f3a41109c2$订阅源
CCTV-14,http://39.150.98.32:7799/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$河南酒店源
CCTV-15,http://211.142.224.62:2023/paiptv/CCTV15.m3u8
CCTV-15,http://39.150.98.32:7799/tsfile/live/0015_1.m3u8$订阅源
CCTV-15,http://222.85.50.23:6070/hls/15/index.m3u8$订阅源
CCTV-15,http://1.24.39.180:808/hls/15/index.m3u8$订阅源
CCTV-15,http://live1.hrtn.net/live/cctv14_1000.m3u8?auth_key=1761355085-9b4ca6eed70a75ca43e5d3efd3ce668e-0-8deaa341f612a04a1cafb5f49443c224$订阅源
CCTV-15,http://39.150.98.32:7799/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$河南酒店源
CCTV-16,http://live1.hrtn.net/live/cctv16hd_3000.m3u8?auth_key=1761355085-d1b6d593dcf346b79a3570a7a0fc17e8-0-070876bdfabdfc3c9ee75039f03c786b$订阅源
CCTV-16,http://183.188.111.173:9003/hls/17/index.m3u8$订阅源
CCTV-17,http://211.142.224.62:2023/paiptv/CCTV17.m3u8
